r(m),T(K)
3.99500e-03,9.57400e+03
4.00000e-03,9.57193e+03
4.00500e-03,9.56985e+03
4.01000e-03,9.56777e+03
4.01500e-03,9.56567e+03
4.02000e-03,9.56358e+03
4.02500e-03,9.56147e+03
4.03000e-03,9.55936e+03
4.03500e-03,9.55723e+03
4.04000e-03,9.55511e+03
4.04500e-03,9.55297e+03
4.05000e-03,9.55083e+03
4.05500e-03,9.54867e+03
4.06000e-03,9.54651e+03
4.06500e-03,9.54435e+03
4.07000e-03,9.54217e+03
4.07500e-03,9.53999e+03
4.08000e-03,9.53780e+03
4.08500e-03,9.53560e+03
4.09000e-03,9.53340e+03
4.09500e-03,9.53119e+03
4.10000e-03,9.52897e+03
4.10500e-03,9.52674e+03
4.11000e-03,9.52450e+03
4.11500e-03,9.52226e+03
4.12000e-03,9.52001e+03
4.12500e-03,9.51775e+03
4.13000e-03,9.51548e+03
4.13500e-03,9.51321e+03
4.14000e-03,9.51092e+03
4.14500e-03,9.50863e+03
4.15000e-03,9.50633e+03
4.15500e-03,9.50403e+03
4.16000e-03,9.50171e+03
4.16500e-03,9.49939e+03
4.17000e-03,9.49706e+03
4.17500e-03,9.49472e+03
4.18000e-03,9.49237e+03
4.18500e-03,9.49001e+03
4.19000e-03,9.48765e+03
4.19500e-03,9.48528e+03
4.20000e-03,9.48290e+03
4.20500e-03,9.48051e+03
4.21000e-03,9.47811e+03
4.21500e-03,9.47571e+03
4.22000e-03,9.47329e+03
4.22500e-03,9.47087e+03
4.23000e-03,9.46844e+03
4.23500e-03,9.46600e+03
4.24000e-03,9.46355e+03
4.24500e-03,9.46110e+03
4.25000e-03,9.45863e+03
4.25500e-03,9.45616e+03
4.26000e-03,9.45368e+03
4.26500e-03,9.45119e+03
4.27000e-03,9.44869e+03
4.27500e-03,9.44618e+03
4.28000e-03,9.44367e+03
4.28500e-03,9.44114e+03
4.29000e-03,9.43861e+03
4.29500e-03,9.43606e+03
4.30000e-03,9.43351e+03
4.30500e-03,9.43095e+03
4.31000e-03,9.42838e+03
4.31500e-03,9.42580e+03
4.32000e-03,9.42322e+03
4.32500e-03,9.42062e+03
4.33000e-03,9.41802e+03
4.33500e-03,9.41540e+03
4.34000e-03,9.41278e+03
4.34500e-03,9.41015e+03
4.35000e-03,9.40751e+03
4.35500e-03,9.40486e+03
