r(m),T(K)
8.52000e-03,3.28864e+03
8.54000e-03,3.25712e+03
8.56000e-03,3.22671e+03
8.58000e-03,3.19739e+03
8.60000e-03,3.16920e+03
8.62000e-03,3.14211e+03
8.64000e-03,3.11613e+03
8.66000e-03,3.09125e+03
8.68000e-03,3.06742e+03
8.70000e-03,3.04462e+03
8.72000e-03,3.02279e+03
8.74000e-03,3.00188e+03
8.76000e-03,2.98182e+03
8.78000e-03,2.96254e+03
8.80000e-03,2.94397e+03
8.82000e-03,2.92605e+03
8.84000e-03,2.90868e+03
8.86000e-03,2.89182e+03
8.88000e-03,2.87537e+03
8.90000e-03,2.85929e+03
8.92000e-03,2.84350e+03
8.94000e-03,2.82795e+03
8.96000e-03,2.81257e+03
8.98000e-03,2.79728e+03
9.00000e-03,2.78203e+03
9.02000e-03,2.76675e+03
9.04000e-03,2.75137e+03
9.06000e-03,2.73582e+03
9.08000e-03,2.72004e+03
9.10000e-03,2.70396e+03
9.12000e-03,2.68750e+03
9.14000e-03,2.67059e+03
9.16000e-03,2.65314e+03
9.18000e-03,2.63509e+03
9.20000e-03,2.61636e+03
9.22000e-03,2.59691e+03
9.24000e-03,2.57676e+03
9.26000e-03,2.55596e+03
9.28000e-03,2.53462e+03
9.30000e-03,2.51292e+03
9.32000e-03,2.49110e+03
9.34000e-03,2.46945e+03
9.36000e-03,2.44824e+03
9.38000e-03,2.42772e+03
9.40000e-03,2.40807e+03
9.42000e-03,2.38938e+03
9.44000e-03,2.37170e+03
9.46000e-03,2.35497e+03
9.48000e-03,2.33913e+03
9.50000e-03,2.32408e+03
9.52000e-03,2.30973e+03
9.54000e-03,2.29598e+03
9.56000e-03,2.28276e+03
9.58000e-03,2.27000e+03
9.60000e-03,2.25761e+03
9.62000e-03,2.24553e+03
9.64000e-03,2.23371e+03
9.66000e-03,2.22209e+03
9.68000e-03,2.21059e+03
9.70000e-03,2.19918e+03
9.72000e-03,2.18778e+03
9.74000e-03,2.17634e+03
9.76000e-03,2.16479e+03
9.78000e-03,2.15309e+03
9.80000e-03,2.14118e+03
9.82000e-03,2.12898e+03
9.84000e-03,2.11645e+03
9.86000e-03,2.10351e+03
9.88000e-03,2.09008e+03
9.90000e-03,2.07609e+03
9.92000e-03,2.06151e+03
9.94000e-03,2.04638e+03
9.96000e-03,2.03087e+03
9.98000e-03,2.01527e+03
1.00000e-02,2.00000e+03
