r(cm)          U(V)           Ne(m^-3)       
0.603604       -3963.96       5.52204e+13    
0.604605       -3953.95       5.46983e+13    
0.605606       -3943.94       5.41804e+13    
0.606607       -3933.93       5.36667e+13    
0.607608       -3923.92       5.3157e+13     
0.608609       -3913.91       5.26515e+13    
0.60961        -3903.9        5.21501e+13    
0.610611       -3893.89       5.16527e+13    
0.611612       -3883.88       5.11594e+13    
0.612613       -3873.87       5.067e+13      
0.613614       -3863.86       5.01847e+13    
0.614615       -3853.85       4.97033e+13    
0.615616       -3843.84       4.92258e+13    
0.616617       -3833.83       4.87523e+13    
0.617618       -3823.82       4.82826e+13    
0.618619       -3813.81       4.78169e+13    
0.61962        -3803.8        4.73549e+13    
0.620621       -3793.79       4.68968e+13    
0.621622       -3783.78       4.64425e+13    
0.622623       -3773.77       4.5992e+13     
0.623624       -3763.76       4.55452e+13    
0.624625       -3753.75       4.51021e+13    
0.625626       -3743.74       4.46628e+13    
0.626627       -3733.73       4.42271e+13    
0.627628       -3723.72       4.37951e+13    
0.628629       -3713.71       4.33667e+13    
0.62963        -3703.7        4.2942e+13     
0.630631       -3693.69       4.25208e+13    
0.631632       -3683.68       4.21032e+13    
0.632633       -3673.67       4.16892e+13    
0.633634       -3663.66       4.12787e+13    
0.634635       -3653.65       4.08717e+13    
0.635636       -3643.64       4.04681e+13    
0.636637       -3633.63       4.00681e+13    
0.637638       -3623.62       3.96714e+13    
0.638639       -3613.61       3.92782e+13    
0.63964        -3603.6        3.88884e+13    
0.640641       -3593.59       3.85019e+13    
0.641642       -3583.58       3.81188e+13    
0.642643       -3573.57       3.7739e+13     
0.643644       -3563.56       3.73625e+13    
0.644645       -3553.55       3.69893e+13    
0.645646       -3543.54       3.66193e+13    
0.646647       -3533.53       3.62526e+13    
0.647648       -3523.52       3.58891e+13    
0.648649       -3513.51       3.55288e+13    
0.64965        -3503.5        3.51717e+13    
0.650651       -3493.49       3.48177e+13    
0.651652       -3483.48       3.44669e+13    
0.652653       -3473.47       3.41191e+13    
0.653654       -3463.46       3.37745e+13    
0.654655       -3453.45       3.34329e+13    
0.655656       -3443.44       3.30944e+13    
0.656657       -3433.43       3.27589e+13    
0.657658       -3423.42       3.24263e+13    
0.658659       -3413.41       3.20968e+13    
0.65966        -3403.4        3.17703e+13    
0.660661       -3393.39       3.14466e+13    
0.661662       -3383.38       3.11259e+13    
