r(cm),U(V),Ne(m^-3)
0.452452,-5475.48,1.95E+14
0.453453,-5465.47,1.94E+14
0.454454,-5455.46,1.93E+14
0.455455,-5445.45,1.91E+14
0.456456,-5435.44,1.90E+14
0.457457,-5425.43,1.88E+14
0.458458,-5415.42,1.87E+14
0.459459,-5405.41,1.86E+14
0.46046,-5395.4,1.84E+14
0.461461,-5385.39,1.83E+14
0.462462,-5375.38,1.82E+14
0.463463,-5365.37,1.80E+14
0.464464,-5355.36,1.79E+14
0.465465,-5345.35,1.78E+14
0.466466,-5335.34,1.76E+14
0.467467,-5325.33,1.75E+14
0.468468,-5315.32,1.74E+14
0.469469,-5305.31,1.72E+14
0.47047,-5295.3,1.71E+14
0.471471,-5285.29,1.70E+14
0.472472,-5275.28,1.69E+14
0.473473,-5265.27,1.67E+14
0.474474,-5255.26,1.66E+14
0.475475,-5245.25,1.65E+14
0.476476,-5235.24,1.64E+14
0.477477,-5225.23,1.62E+14
0.478478,-5215.22,1.61E+14
0.479479,-5205.21,1.60E+14
0.48048,-5195.2,1.59E+14
0.481481,-5185.19,1.58E+14
0.482482,-5175.18,1.56E+14
0.483483,-5165.17,1.55E+14
0.484484,-5155.16,1.54E+14
0.485485,-5145.15,1.53E+14
0.486486,-5135.14,1.52E+14
0.487487,-5125.13,1.50E+14
0.488488,-5115.12,1.49E+14
0.489489,-5105.11,1.48E+14
0.49049,-5095.1,1.47E+14
0.491491,-5085.09,1.46E+14
0.492492,-5075.08,1.45E+14
0.493493,-5065.07,1.44E+14
0.494494,-5055.06,1.42E+14
0.495495,-5045.05,1.41E+14
0.496496,-5035.04,1.40E+14
0.497497,-5025.03,1.39E+14
0.498498,-5015.02,1.38E+14
0.499499,-5005.01,1.37E+14
0.500501,-4994.99,1.36E+14
0.501502,-4984.98,1.35E+14
0.502503,-4974.97,1.34E+14
0.503504,-4964.96,1.33E+14
0.504505,-4954.95,1.32E+14
0.505506,-4944.94,1.30E+14
0.506507,-4934.93,1.29E+14
0.507508,-4924.92,1.28E+14
0.508509,-4914.91,1.27E+14
0.50951,-4904.9,1.26E+14
0.510511,-4894.89,1.25E+14
0.511512,-4884.88,1.24E+14
0.512513,-4874.87,1.23E+14
0.513514,-4864.86,1.22E+14
0.514515,-4854.85,1.21E+14
0.515516,-4844.84,1.20E+14
0.516517,-4834.83,1.19E+14
0.517518,-4824.82,1.18E+14
0.518519,-4814.81,1.17E+14
0.51952,-4804.8,1.16E+14
0.520521,-4794.79,1.15E+14
0.521522,-4784.78,1.15E+14
0.522523,-4774.77,1.14E+14
0.523524,-4764.76,1.13E+14
0.524525,-4754.75,1.12E+14
0.525526,-4744.74,1.11E+14
0.526527,-4734.73,1.10E+14
0.527528,-4724.72,1.09E+14
0.528529,-4714.71,1.08E+14
0.52953,-4704.7,1.07E+14
0.530531,-4694.69,1.06E+14
0.531532,-4684.68,1.05E+14
0.532533,-4674.67,1.04E+14
0.533534,-4664.66,1.04E+14
0.534535,-4654.65,1.03E+14
0.535536,-4644.64,1.02E+14
0.536537,-4634.63,1.01E+14
0.537538,-4624.62,1.00E+14
0.538539,-4614.61,9.93E+13
