r(cm)          U(V)           Ne(m^-3)       
0.441441       -6318.79       4.28319e+15    
0.442442       -6308.29       4.26394e+15    
0.443443       -6297.79       4.24466e+15    
0.444444       -6287.28       4.22538e+15    
0.445445       -6276.76       4.20607e+15    
0.446446       -6266.24       4.18675e+15    
0.447447       -6255.71       4.16741e+15    
0.448448       -6245.17       4.14806e+15    
0.449449       -6234.62       4.1287e+15     
0.45045        -6224.07       4.10933e+15    
0.451451       -6213.51       4.08994e+15    
0.452452       -6202.94       4.07055e+15    
0.453453       -6192.37       4.05115e+15    
0.454454       -6181.79       4.03174e+15    
0.455455       -6171.2        4.01232e+15    
0.456456       -6160.6        3.9929e+15     
0.457457       -6150          3.97347e+15    
0.458458       -6139.39       3.95404e+15    
0.459459       -6128.78       3.93461e+15    
0.46046        -6118.15       3.91517e+15    
0.461461       -6107.53       3.89574e+15    
0.462462       -6096.89       3.8763e+15     
0.463463       -6086.25       3.85687e+15    
0.464464       -6075.6        3.83743e+15    
0.465465       -6064.94       3.818e+15      
0.466466       -6054.28       3.79858e+15    
0.467467       -6043.61       3.77916e+15    
0.468468       -6032.94       3.75974e+15    
0.469469       -6022.26       3.74034e+15    
0.47047        -6011.57       3.72094e+15    
0.471471       -6000.87       3.70155e+15    
0.472472       -5990.17       3.68216e+15    
0.473473       -5979.47       3.66279e+15    
0.474474       -5968.75       3.64344e+15    
0.475475       -5958.03       3.62409e+15    
0.476476       -5947.31       3.60476e+15    
0.477477       -5936.58       3.58544e+15    
0.478478       -5925.84       3.56613e+15    
0.479479       -5915.09       3.54685e+15    
0.48048        -5904.34       3.52758e+15    
0.481481       -5893.59       3.50833e+15    
0.482482       -5882.82       3.48909e+15    
0.483483       -5872.06       3.46988e+15    
0.484484       -5861.28       3.45069e+15    
0.485485       -5850.5        3.43152e+15    
0.486486       -5839.71       3.41237e+15    
0.487487       -5828.92       3.39324e+15    
0.488488       -5818.12       3.37414e+15    
0.489489       -5807.32       3.35507e+15    
0.49049        -5796.51       3.33602e+15    
0.491491       -5785.7        3.31699e+15    
0.492492       -5774.88       3.298e+15      
0.493493       -5764.05       3.27903e+15    
0.494494       -5753.22       3.26009e+15    
0.495495       -5742.38       3.24118e+15    
0.496496       -5731.53       3.22231e+15    
0.497497       -5720.69       3.20346e+15    
0.498498       -5709.83       3.18465e+15    
0.499499       -5698.97       3.16587e+15    
0.500501       -5688.11       3.14712e+15    
0.501502       -5677.23       3.12841e+15    
0.502503       -5666.36       3.10974e+15    
0.503504       -5655.48       3.0911e+15     
0.504505       -5644.59       3.0725e+15     
0.505506       -5633.7        3.05393e+15    
